Date, Close/Last, Volume, Open, High, Low
05/30/2019, 2790.4, 80, 2781.5, 2792, 2779.8
05/29/2019, 2780.1, 173, 2802.3, 2802.3, 2779.7
05/28/2019, 2805.1, 101, 2831.2, 2837.8, 2801.3
05/24/2019, 2831.8, 73, 2834, 2834.1, 2827.4
05/23/2019, 2819.4, 115, 2854, 2854, 2820
05/22/2019, 2857.4, 98, 2864.8, 2867.6, 2848.8
05/21/2019, 2866.1, 59, 2849.4, 2863, 2846.8
05/20/2019, 2843.9, 86, 2865.5, 2874.5, 2837.1
05/17/2019, 2862, 75, 2879.7, 2882, 2854.9
05/16/2019, 2878.6, 112, 2853, 2879.5, 2842.3
05/15/2019, 2855, 59, 2841.5, 2856.3, 2820.6
05/14/2019, 2839.2, 137, 2803.5, 2839.5, 2799.3
05/13/2019, 2807.1, 78, 2873.9, 2873.9, 2805.3
05/10/2019, 2886.9, 344, 2871, 2889.5, 2850.1
05/09/2019, 2872.7, 93, 2882.2, 2883, 2853.4
05/08/2019, 2887.2, 313, 2890.1, 2899, 2870.1
05/07/2019, 2890.8, 43, 2912.5, 2927.8, 2890
05/06/2019, 2932.4, 143, 2927.8, 2932, 2885
05/03/2019, 2947.6, 37, 2922, 2930.8, 2922
05/02/2019, 2917.6, 88, 2919, 2931.6, 2918.2
05/01/2019, 2923.1, 9, 2953.8, 2957.3, 2916.8
04/30/2019, 2948.5, 45, 2941.1, 2955.7, 2937.3
04/29/2019, 2942.9, 31, 2943, 2946, 2940.7
04/26/2019, 2941.5, 32, 2925.4, 2941.5, 2919.2
04/25/2019, 2926.3, 18, 2930.5, 2933.8, 2923.8
04/24/2019, 2930.8, 34, 2937.7, 2939, 2928.5
04/23/2019, 2938.1, 27, 2909, 2939, 2909
04/22/2019, 2912.6, 39, 2913.9, 2915.1, 2900.1
04/18/2019, 2909.9, 58, 2895.6, 2907.9, 2890.7
04/17/2019, 2900.4, 29, 2910.7, 2918.7, 2900.8
04/16/2019, 2911.4, 20, 2914, 2920.8, 2911.5
04/15/2019, 2909.5, 17, 2911, 2912, 2909.8
04/12/2019, 2912.5, 56, 2892.1, 2911.6, 2892.1
04/11/2019, 2891.8, 66, 2897.5, 2898.2, 2891.3
04/10/2019, 2894.5, 23, 2883, 2895.7, 2883
04/09/2019, 2882.6, 7, 2894.7, 2896.9, 2891
04/08/2019, 2898.3, 18, 2896.3, 2898.5, 2890.7
04/05/2019, 2896, 52, 2884, 2897.5, 2883.8
04/04/2019, 2882.7, 34, 2881, 2883.5, 2877.4
04/03/2019, 2879.8, 51, 2869, 2884.2, 2869
04/02/2019, 2867.1, 13, 2865.8, 2872, 2865.8
04/01/2019, 2870.5, 133, 2841.1, 2871.5, 2841.1
03/29/2019, 2837.8, 47, 2822.2, 2835.9, 2822.2
03/28/2019, 2821, 53, 2807.5, 2822.5, 2796.9
03/27/2019, 2810.5, 32, 2821.8, 2827.7, 2809
03/26/2019, 2823, 40, 2807, 2824, 2807
03/25/2019, 2807, 85, 2817.2, 2817.2, 2792.4
03/22/2019, 2810.7, 46, 2862, 2862.1, 2806.4
03/21/2019, 2862.6, 92, 2828, 2862.2, 2815.5
03/20/2019, 2827, 44, 2838, 2841.5, 2824.5
03/19/2019, 2836.5, 49, 2842.7, 2852.3, 2836
03/18/2019, 2840.6, 46, 2826.5, 2841.5, 2825.8
03/15/2019, 2829.8, 154, 2815, 2830.5, 2812.9
03/14/2019, 2812.3, 22, 2821.8, 2824, 2811.5
03/13/2019, 2819.6, 23, 2792.4, 2821, 2791.7
03/12/2019, 2797.2, 37, 2790.4, 2799, 2786
03/11/2019, 2789, 43, 2750.1, 2790.2, 2744.4
03/08/2019, 2751.9, 125, 2756.1, 2756.1, 2728.6
03/07/2019, 2750, 110, 2767, 2776.4, 2764.3
03/06/2019, 2771.4, 12, 2787, 2788.2, 2786.1
03/05/2019, 2791.5, 70, 2790.3, 2797.3, 2788.8
03/04/2019, 2791.6, 161, 2810, 2819, 2810
03/01/2019, 2805, 96, 2785.3, 2806.7, 2785.3
02/28/2019, 2784.7, 29, 2787.1, 2792.2, 2782.5
02/27/2019, 2795.1, 17, 2790.8, 2796.4, 2781.2
02/26/2019, 2791.5, 111, 2794, 2794, 2785.7
02/25/2019, 2797.1, 25, 2801.8, 2808, 2797.8
02/22/2019, 2791.2, 18, 2779.3, 2783.2, 2779.3
02/21/2019, 2774.2, 63, 2785.4, 2797.2, 2778.9
02/20/2019, 2787, 29, 2777, 2787.3, 2776.2
02/19/2019, 2778.7, 107, 2779.8, 2779.8, 2770.1
02/15/2019, 2777.1, 56, 2779.8, 2779.8, 2774.7
02/14/2019, 2743.4, 39, 2754, 2759.5, 2737.9
02/13/2019, 2749.6, 45, 2749, 2755.7, 2747.1
02/12/2019, 2744.8, 55, 2718.2, 2729.1, 2717.1
02/11/2019, 2708.3, 20, 2709.5, 2717.6, 2703
02/08/2019, 2706.3, 61, 2699.3, 2700.1, 2689.1
02/07/2019, 2704.1, 85, 2726.1, 2727.7, 2703.8
02/06/2019, 2729.4, 65, 2732.1, 2733.7, 2725.4
02/05/2019, 2731.1, 51, 2719.7, 2728, 2718.3
02/04/2019, 2721.2, 68, 2706.9, 2707, 2701.7
02/01/2019, 2704.2, 89, 2707.4, 2711, 2698.3
01/31/2019, 2704.5, 78, 2683.7, 2711.8, 2681.6
01/30/2019, 2682.5, 22, 2646.6, 2653.2, 2640
01/29/2019, 2640.3, 43, 2636.1, 2647.1, 2629.9
01/28/2019, 2641.9, 20, 2659.5, 2661.1, 2641
01/25/2019, 2663.5, 100, 2635.5, 2660.5, 2635.3
01/24/2019, 2634, 81, 2637.9, 2645, 2634.2
01/23/2019, 2638.3, 30, 2631.5, 2646.9, 2628.5
01/22/2019, 2631.9, 309, 2671.4, 2673.8, 2631
01/18/2019, 2671.6, 7, 2671.4, 2673.8, 2663.5
01/17/2019, 2635.2, 197, 2608, 2609.1, 2598.9
01/16/2019, 2613.2, 119, 2605.6, 2615.8, 2605.6
01/15/2019, 2605.4, 39, 2581.6, 2606.4, 2581.4
01/14/2019, 2580.5, 54, 2589.9, 2589.9, 2568.6
01/11/2019, 2595.1, 69, 2592.5, 2595.7, 2582.7
01/10/2019, 2594.1, 51, 2580.9, 2594.3, 2561.7
01/09/2019, 2582.6, 93, 2570.8, 2586.3, 2570.8
01/08/2019, 2572.4, 113, 2550.7, 2576.6, 2550.7
01/07/2019, 2550.6, 108, 2536.7, 2553.2, 2526.7
01/04/2019, 2531.3, 145, 2453.4, 2530.8, 2439
01/03/2019, 2447.7, 225, 2480.9, 2490, 2447.5
01/02/2019, 2511, 292, 2511.4, 2518.6, 2454.2
12/31/2018, 2505.2, 151, 2502.3, 2512, 2498.7
12/28/2018, 2486, 169, 2489.3, 2519.4, 2478.8
12/27/2018, 2494.9, 382, 2469, 2491, 2423.1
12/26/2018, 2470.9, 291, 2348.8, 2471.8, 2317.7
12/24/2018, 2341.7, 346, 2405.8, 2433.7, 2394.5
12/21/2018, 2413.5, 288, 2484, 2491.2, 2413.3
12/20/2018, 2486.2, 296, 2501, 2517, 2480.3
12/19/2018, 2504.4, 113, 2536.1, 2561, 2495.9
12/18/2018, 2537.9, 89, 2557.9, 2574, 2531.1
12/17/2018, 2555.7, 94, 2599.5, 2615.7, 2554.3
12/14/2018, 2605.4, 72, 2648, 2648, 2600
12/13/2018, 2645.6, 30, 2658.2, 2669.4, 2649.3
12/12/2018, 2652.4, 204, 2633.9, 2674.5, 2633.9
12/11/2018, 2641.2, 181, 2638.6, 2675.4, 2628.8
12/10/2018, 2643.1, 198, 2617.5, 2644, 2610.7
12/07/2018, 2636, 273, 2694.2, 2698.1, 2635.4
12/06/2018, 2691.1, 334, 2713, 2713, 2651.3
12/04/2018, 2701.7, 297, 2699.5, 2719.8, 2699.2
12/03/2018, 2790.7, 260, 2787, 2812.3, 2787
11/30/2018, 2758.3, 127, 2737.6, 2763, 2729.7
11/29/2018, 2744.2, 51, 2738.7, 2743, 2730.5
11/28/2018, 2741.5, 101, 2686.6, 2696.1, 2684.3
11/27/2018, 2683.5, 163, 2659.7, 2685.8, 2656.6
11/26/2018, 2669.9, 113, 2632, 2665.9, 2632
11/23/2018, 2629.5, 161, 2651.2, 2654.6, 2627.4
11/21/2018, 2649, 7, 2651.2, 2651.2, 2645.9
11/20/2018, 2639.9, 169, 2696.2, 2696.2, 2638.2
11/19/2018, 2696.3, 221, 2730.2, 2748, 2728.4
11/16/2018, 2742.9, 156, 2728.3, 2743.1, 2710.8
11/15/2018, 2734.5, 191, 2700.5, 2734.3, 2684.1
11/14/2018, 2698.6, 174, 2731.6, 2743.5, 2698
11/13/2018, 2727.6, 159, 2734.3, 2749.4, 2723
11/12/2018, 2727.8, 119, 2775.4, 2794, 2768.8
11/09/2018, 2778.9, 112, 2804.3, 2810, 2779
11/08/2018, 2808.7, 116, 2815.3, 2816, 2802.7
11/07/2018, 2816.4, 341, 2754.5, 2817, 2747.9
11/06/2018, 2759, 127, 2740.5, 2759.3, 2732.3
11/05/2018, 2739.6, 150, 2722.8, 2728.4, 2713.5
11/02/2018, 2724.3, 201, 2728.8, 2763.8, 2722.2
11/01/2018, 2738.1, 176, 2707.5, 2736.5, 2707.5
10/31/2018, 2711.1, 142, 2688.7, 2713.4, 2684.1
10/30/2018, 2685.3, 135, 2639.6, 2689.8, 2636.3
10/29/2018, 2643.6, 168, 2667.4, 2700, 2639
10/26/2018, 2669.6, 322, 2675, 2679.3, 2649.4
10/25/2018, 2688.2, 354, 2668.3, 2692, 2659
10/24/2018, 2664.3, 206, 2742.1, 2750.1, 2667.1
10/23/2018, 2746.2, 343, 2753, 2753, 2711.3
10/22/2018, 2756.5, 162, 2760.8, 2780.5, 2751.8
10/19/2018, 2767.5, 81, 2773.4, 2786.2, 2772
10/18/2018, 2772.2, 23, 2810, 2810.5, 2773
10/17/2018, 2816.2, 104, 2817.2, 2823, 2805.4
10/16/2018, 2817.8, 176, 2747.1, 2816.5, 2747.1
10/15/2018, 2749.1, 155, 2764.6, 2768, 2746
10/12/2018, 2768.4, 210, 2751.6, 2784.8, 2751.1
10/11/2018, 2745.4, 865, 2776, 2785.6, 2746.3
10/10/2018, 2781.1, 162, 2888.5, 2888.9, 2771.7
10/09/2018, 2888.2, 93, 2890, 2891.4, 2875.5
10/08/2018, 2893.7, 71, 2896.5, 2896.5, 2884
10/05/2018, 2894.1, 113, 2913.5, 2915, 2892.7
10/04/2018, 2907.7, 79, 2925.3, 2925.3, 2910.3
10/03/2018, 2931.6, 19, 2933.3, 2939.5, 2931.4
10/02/2018, 2928.5, 14, 2929.8, 2929.8, 2918
10/01/2018, 2930.1, 49, 2926.1, 2937, 2924
09/28/2018, 2919, 63, 2922.5, 2923.2, 2908.5
09/27/2018, 2919.9, 44, 2914, 2922, 2908
09/26/2018, 2911.5, 153, 2926.2, 2928.5, 2911
09/25/2018, 2921.3, 114, 2926.2, 2933.3, 2923.6
09/24/2018, 2925.4, 181, 2927, 2929.4, 2925
09/21/2018, 2933.7, 144, 2939, 2945, 2933.5
09/20/2018, 2939.4, 43, 2915, 2939.7, 2915
09/19/2018, 2915.1, 62, 2913.3, 2913.4, 2908.2
09/18/2018, 2911.8, 108, 2890.2, 2902.7, 2885.5
09/17/2018, 2896, 43, 2905.7, 2909.5, 2905.3
09/14/2018, 2911.4, 42, 2910.7, 2916.2, 2910.7
